Column_Timestamp,Column_22_23,Col1292,Col1293,Column_labels
1680619325,1825184,32,57037,1
1680622325,1825184,32,57037,1
1680625325,1825184,32,57037,1
1680628325,1825184,32,57037,1
1680631325,1825184,32,57037,1
1680634325,1825184,32,57037,1
1680637325,1825184,32,57037,1
1680640325,1825184,32,57037,1
1680643325,1825184,32,57037,1
1680646325,1825184,32,57037,1
1680649325,1825184,32,57037,1
1680652325,1825184,32,57037,1
1680655325,1825184,32,57037,1
1680658325,1825184,32,57037,1
1680661325,1825184,32,57037,1
1680664325,1825184,32,57037,1
1680667325,1825184,32,57037,1
1680670325,1825184,32,57037,1
1680673325,1826208,32,57069,1
1680676325,1828864,32,57152,1
1680679325,1828864,32,57152,1
1680682325,1828960,32,57155,1
1680685325,1829056,32,57158,1
1680688325,1829152,32,57161,1
1680691325,1829152,32,57161,1
1680694325,1829152,32,57161,1
1680697325,1829248,32,57164,1
1680700325,1829312,32,57166,1
1680703325,1836768,32,57399,1
1680706325,1878784,32,58712,0
1680709325,1884768,32,58899,1
1680712325,1896960,32,59280,0
1680715325,1907584,32,59612,0
1680718325,1934528,32,60454,0
1680721325,1786112,32,55816,1
1680724325,1891776,32,59118,0
1680727325,1891776,32,59118,1
1680730325,1891776,32,59118,1
1680733325,1891776,32,59118,1
1680736325,1891936,32,59123,1
1680739325,1893216,32,59163,1
1680742325,1894688,32,59209,1
1680745325,1909248,32,59664,0
1680748325,1915360,32,59855,1
1680751325,1915360,32,59855,1
1680754325,1916576,32,59893,1
1680757325,1916896,32,59903,1
1680760325,1917632,32,59926,1
1680763325,1821600,32,56925,1
1680766325,1837184,32,57412,0
1680769325,1841984,32,57562,1
1680772325,1842240,32,57570,1
1680775325,1850880,32,57840,1
1680778325,1859680,32,58115,1
1680781325,1859680,32,58115,1
1680784325,1859680,32,58115,1
1680787325,1859680,32,58115,1
1680790325,1859680,32,58115,1
1680793325,1859680,32,58115,1
1680796325,1859680,32,58115,1
1680799325,1859680,32,58115,1
1680802325,1913984,32,59812,0
1680805325,1928448,32,60264,0
1680808325,1936832,32,60526,0
1680811325,1936832,32,60526,0
1680814325,1936832,32,60526,0
1680817325,1936832,32,60526,0
1680820325,1936832,32,60526,0
1680823325,1936832,32,60526,0
1680826325,1936832,32,60526,0
1680829325,1936832,32,60526,0
1680832325,1936832,32,60526,0
1680835325,1936832,32,60526,0
1680838325,1936832,32,60526,0
1680841325,1936832,32,60526,0
1680844325,1936832,32,60526,0
1680847325,1936832,32,60526,0
1680850325,1936832,32,60526,0
1680853325,1936832,32,60526,0
1680856325,1936832,32,60526,0
1680859325,1936832,32,60526,0
1680862325,1936832,32,60526,0
1680865325,1936832,32,60526,0
1680868325,1936832,32,60526,0
1680871325,1936832,32,60526,0
1680874325,1936832,32,60526,0
1680877325,1936832,32,60526,0
1680880325,1936832,32,60526,0
1680883325,1936832,32,60526,0
1680886325,1936832,32,60526,0
1680889325,1936832,32,60526,0
1680892325,1936832,32,60526,0
1680895325,1936832,32,60526,0
1680898325,1936832,32,60526,0
1680901325,1936832,32,60526,0
1680904325,1936832,32,60526,0
1680907325,1936832,32,60526,0
1680910325,1936832,32,60526,0
1680913325,1936832,32,60526,0
1680916325,1936832,32,60526,0
1680919325,1936832,32,60526,0
1680922325,1936832,32,60526,0
1680925325,1938496,32,60578,0
1680928325,1940576,32,60643,0
1680931325,1942656,32,60708,0
1680934325,1944736,32,60773,0
1680937325,1946816,32,60838,0
1680940325,1948896,32,60903,0
1680943325,1965664,32,61427,0
1680946325,1980800,32,61900,0
1680949325,1981280,32,61915,0
1680952325,1981760,32,61930,0
1680955325,1982240,32,61945,0
1680958325,1982720,32,61960,0
1680961325,1992544,32,62267,0
1680964325,1992544,32,62267,0
1680967325,1995392,32,62356,0
1680970325,1996672,32,62396,0
1680973325,1996832,32,62401,0
1680976325,2002592,32,62581,0
1680979325,2099744,32,65617,0
1680982325,2101984,32,65687,0
1680985325,2102688,32,65709,0
1680988325,2102688,32,65709,0
1680991325,2102688,32,65709,0
1680994325,2102688,32,65709,0
1680997325,2102688,32,65709,0
1681000325,2102688,32,65709,0
1681003325,2102688,32,65709,0
1681006325,2102688,32,65709,0
1681009325,2102688,32,65709,0
1681012325,2102688,32,65709,0
1681015325,2102688,32,65709,0
1681018325,2102688,32,65709,0
1681021325,2106624,32,65832,0
1681024325,2115488,32,66109,0
1681027325,2119872,32,66246,0
1681030325,2122272,32,66321,0
1681033325,2124672,32,66396,0
1681036325,2127072,32,66471,0
1681039325,2143936,32,66998,0
1681042325,2143936,32,66998,0
1681045325,2143936,32,66998,0
1681048325,2143936,32,66998,0
1681051325,2143936,32,66998,0
1681054325,2144864,32,67027,0
1681057325,2163360,32,67605,0
1681060325,2163840,32,67620,0
1681063325,2164320,32,67635,0
1681066325,2165312,32,67666,0
1681069325,2165312,32,67666,0
1681072325,2165312,32,67666,0
1681075325,2165312,32,67666,0
1681078325,2165856,32,67683,0
1681081325,2168896,32,67778,0
1681084325,2169376,32,67793,0
1681087325,2170080,32,67815,0
1681090325,2170080,32,67815,0
1681093325,2170080,32,67815,0
1681096325,2176224,32,68007,0
1681099325,2176224,32,68007,0
1681102325,2176224,32,68007,0
1681105325,2176224,32,68007,0
1681108325,2176224,32,68007,0
1681111325,2176224,32,68007,0
1681114325,2176224,32,68007,0
1681117325,2176224,32,68007,0
1681120325,2176224,32,68007,0
1681123325,2176224,32,68007,0
1681126325,2176224,32,68007,0
1681129325,2176224,32,68007,0
1681132325,2176224,32,68007,0
1681135325,1912704,32,59772,1
1681138325,1912704,32,59772,1
1681141325,1915008,32,59844,1
1681144325,1917088,32,59909,1
1681147325,1922912,32,60091,0
1681150325,1934624,32,60457,0
1681153325,1935296,32,60478,0
1681156325,1935776,32,60493,0
1681159325,1943168,32,60724,0
1681162325,1949856,32,60933,0
1681165325,1978944,32,61842,0
1681168325,1978944,32,61842,0
1681171325,1980672,32,61896,0
1681174325,1987776,32,62118,0
1681177325,1987776,32,62118,0
1681180325,1987776,32,62118,0
1681183325,1987776,32,62118,0
1681186325,1987776,32,62118,0
1681189325,2008992,32,62781,0
1681192325,2009152,32,62786,0
1681195325,2010912,32,62841,0
1681198325,2010912,32,62841,0
1681201325,2017056,32,63033,0
1681204325,2020896,32,63153,0
1681207325,2073984,32,64812,0
1681210325,2073984,32,64812,0
1681213325,2073984,32,64812,0
1681216325,2073984,32,64812,0
1681219325,2073984,32,64812,0
1681222325,2073984,32,64812,0
1681225325,2073984,32,64812,0
1681228325,2073984,32,64812,0
1681231325,2073984,32,64812,0
1681234325,2073984,32,64812,0
1681237325,2073984,32,64812,0
1681240325,2073984,32,64812,0
1681243325,2073984,32,64812,0
1681246325,2073984,32,64812,0
1681249325,2073984,32,64812,0
1681252325,2073984,32,64812,0
1681255325,2073984,32,64812,0
1681258325,2073984,32,64812,0
1681261325,2073984,32,64812,0
1681264325,2073984,32,64812,0
1681267325,2073984,32,64812,0
1681270325,2073984,32,64812,0
1681273325,2073984,32,64812,0
1681276325,2073984,32,64812,0
1681279325,2073984,32,64812,0
1681282325,2073984,32,64812,0
1681285325,2073984,32,64812,0
1681288325,2073984,32,64812,0
1681291325,2073984,32,64812,0
1681294325,2073984,32,64812,0
1681297325,2081248,32,65039,0
1681300325,2108512,32,65891,0
1681303325,2110400,32,65950,0
1681306325,2113120,32,66035,0
1681309325,2117664,32,66177,0
1681312325,2122976,32,66343,0
1681315325,2122976,32,66343,0
1681318325,2122976,32,66343,0
1681321325,2122976,32,66343,0
1681324325,2122976,32,66343,0
1681327325,2122976,32,66343,0
1681330325,2122976,32,66343,0
1681333325,2122976,32,66343,0
1681336325,2122976,32,66343,0
1681339325,2122976,32,66343,0
1681342325,2122976,32,66343,0
1681345325,2122976,32,66343,0
1681348325,2122976,32,66343,0
1681351325,2122976,32,66343,0
1681354325,2122976,32,66343,0
1681357325,2122976,32,66343,0
1681360325,2011584,32,62862,0
1681363325,2011584,32,62862,0
1681366325,2054208,32,64194,0
1681369325,2083584,32,65112,0
1681372325,2110176,32,65943,0
1681375325,2111296,32,65978,0
1681378325,2124864,32,66402,0
1681381325,2124864,32,66402,0
1681384325,2124864,32,66402,0
1681387325,2124864,32,66402,0
